Z,a,b,c,d,e,f,g,h,i
80,-0.0002557,1.265e-07,0.03189,4.558,-9.565e-05,-3.286,0.492,-5.381,-5.901
81,-7.098e-05,5.439e-09,0.02371,3.945,9.153e-05,-5.026,0.221,-8.591,-0.05621
82,-0.0001143,3.228e-08,0.0253,3.939,-0.0002001,-4.59,0.1759,-10.52,3.104
83,-1.895e-05,-4.816e-08,0.02249,3.641,-1.259e-05,-4.992,0.9787,-0.7329,2.16
84,0.000137,-1.503e-07,0.0204,3.482,-0.004136,30.65,0.9998,-0.353,9.1
85,0.0002154,-2.676e-07,0.02117,3.698,-0.01036,18.87,1.0,-0.337,3.309
86,-0.00073,5.375e-07,0.04329,3.907,0.003152,1.051,0.2893,-6.118,-0.5791
87,4.102e-05,-5.003e-08,0.01967,2.9,0.002401,17.43,0.9683,-0.7324,4.706
88,-0.0001022,1.486e-08,0.02474,3.148,-0.002388,3.931,0.3439,-4.958,14.64
89,-0.0001146,2.322e-08,0.02495,3.07,-0.002624,3.817,0.372,-4.506,2.018
90,-0.0002164,1.138e-07,0.0261,2.975,-0.002449,3.434,0.4243,-3.825,1.952
91,-0.0001648,6.655e-08,0.02496,2.873,-7.087e-05,-4.039,0.5707,-5.835,-6.273
92,0.0009309,-7.636e-07,0.03979,5.967,-0.001319,-0.881,0.8498,-1.813,-0.5036
93,0.0004583,-3.712e-07,0.03995,4.31,-0.00565,2.561,0.3357,-4.846,2.008
94,0.0004697,-3.735e-07,0.04037,4.265,0.005618,2.467,0.3493,-4.619,-1.166
95,0.000482,-3.848e-07,0.04061,4.202,0.0113,10.15,0.06044,-25.82,20.97
96,0.000483,-3.837e-07,0.04109,4.146,-0.005051,27.38,-1.258,-5.775,20.62
97,0.0004955,-3.87e-07,0.04162,4.113,0.005018,27.21,-0.9652,-10.74,10.96
98,0.000506,-3.953e-07,0.04219,4.076,0.003836,-0.6679,-0.9847,-11.9,6.179
99,0.0005228,-4.119e-07,0.04253,4.026,-0.01513,337.7,-1.274,-6.563,17.42
100,0.0005227,-4.085e-07,0.04244,3.952,-0.02118,339.9,-0.4189,-6.116,22.69
101,0.0005413,-4.158e-07,0.04369,3.947,-0.3653,898.7,0.4293,-7.326,-9.633
102,0.0005535,-4.21e-07,0.04421,3.903,-0.01233,9.025,0.05011,-30.66,-0.7396
103,0.00056,-4.312e-07,0.04463,3.848,-0.0126,8.837,0.0479,-32.09,-0.6863
104,0.0005743,-4.496e-07,0.04518,3.802,-0.005438,1.558,0.8858,-0.9817,-5.088
105,0.0008192,-6.238e-07,0.05879,4.53,-0.02097,342.6,-1.437,-8.942,17.32
106,0.0005902,-4.611e-07,0.04672,3.726,-0.005411,1.378,0.8965,-0.9379,-5.028
107,0.000599,-4.668e-07,0.04748,3.688,-0.005429,1.301,0.9034,-0.9097,-4.998
108,0.0006118,-4.778e-07,0.04805,3.637,-0.005413,1.228,0.9089,-0.8882,-4.967
109,0.0006237,-4.886e-07,0.04867,3.586,-0.0054,1.159,0.9137,-0.8689,-4.937
110,0.0006349,-5.008e-07,0.04943,3.545,-0.01493,8.146,0.04101,-37.54,-0.5238
111,0.0006395,-5.053e-07,0.05041,3.512,-0.004902,0.6968,0.3738,-4.036,-3.969
112,0.0006489,-5.126e-07,0.05124,3.469,-0.004952,0.5688,0.3487,-4.388,-3.87
113,0.0006642,-5.299e-07,0.05186,3.406,-0.004987,0.428,0.3242,-4.787,-3.77
114,0.0006738,-5.425e-07,0.05238,3.342,-0.005066,0.309,0.3048,-5.153,-3.691
115,0.0006908,-5.646e-07,0.05294,3.277,-0.0172,8.007,0.04223,-36.31,-0.5273
116,0.0007101,-5.853e-07,0.05382,3.224,-0.01767,8.011,0.04346,-35.2,-0.5449
117,0.0007153,-5.885e-07,0.05462,3.171,-0.01828,8.019,0.04447,-34.34,-0.5593
118,0.0007287,-6.006e-07,0.0554,3.116,-0.01895,7.953,0.04466,-34.19,-0.5555
119,0.0007381,-6.159e-07,0.0564,3.069,-0.02044,8.176,0.04809,-31.79,43.37
120,0.0007513,-6.362e-07,0.05728,3.013,-0.02097,8.159,0.05008,-30.44,-0.6434
